ID #,Location,Name,Type,Latitude,Longitude,Alt (m),Open,Close,Notes
10003,"Mondy,Russia",MondyAZT14,Opt,51.621953,100.918758,2008,,,
10010,"Arkhyz,Russia",ArkhyzZeiss600,Opt,43.650132,41.431058,2029.7,,,
10012,"Terskol,Russia",Zeiss2000,Opt,43.276347,42.499483,3084,,,
10016,"Mayaki,Ukraine",Mayaki600,Opt,46.397439,30.271719,22,,,
10019,"Simeiz,Ukriane",SimeizZ1000,Opt,44.412381,33.991497,334,,,
10024,"Pulkovo,Russia",Pulkovo200,Opt,59.771811,30.326025,92,,,
10031,"Nauchnyi,Ukraine",CrAOATA64,Opt,44.726864,34.015689,595,,,
10041,"Majdanak,Uzbekistan",MajdAZT22,Opt,38.673375,66.895545,2575.9,,,
10042,"Arkhyz,Russia",SAOZeiss,Opt,43.646821,41.44038,2058,,,
10044,"Dushanbe,Tajikistan",AZT8,Opt,38.490922,68.682582,732.2,,,
10059,"Kitab,Uzbekistan",KitabORI2,Opt,39.133531,66.884678,658,,,
10064,"Tiraspol,Moldova",TiraspSR220,Opt,46.836333,29.631347,35,,,
10067,"Ussuriysk,Russia",UssuriyskORI,Opt,43.698564,132.165618,273,,,
10072,"Tarija,Bolivia",TarijaORI,Opt,-21.595689,-64.624061,1850,,,
10077,"Blagoveshchensk,Russia",Blagov250,Opt,50.318646,127.482078,220,,,
10078,"Artem,Russia",Artem20,Opt,43.340189,132.070668,16,,,
10083,"Milkovo,Russia",Milkovo220,Opt,54.694557,158.625927,174.4,,,
10092,"Uzhgorod,Ukraine",UzhgT25,Opt,48.563551,22.453751,231,,,
10103,"Mondy,Russia",AZT33IK,Opt,51.620292,100.921468,1993,,,
10112,"Kharkov,Ukraine",Chuguyev25,Opt,49.64141,36.93538,174,,,
10240,"Collepardo,Italy",CollepORI22,Opt,41.765283,13.375028,562,,,
10517,"Zvenigorod,Russia",Zvenig50,Opt,55.699453,36.757308,196,,,
10526,"Lesosibirsk,Russia",Lesosibirsk,Opt,58.183399,92.531017,93,,,
10531,"Nauchnyi,Ukraine",CrAOZTSh,Opt,44.727919,34.015914,601,,,
10532,"Nauchnyi,Ukraine",GAIShZ600,Opt,44.729719,34.016708,590,,,
10533,"Nauchnyi,Ukraine",CrAOPH1,Opt,44.72695,34.017239,592,,,
10541,"Nauchnyi,Ukraine",CrAORST221,Opt,44.729583,34.016236,594,,,
10901,"Andrushivka,Ukraine",AbdrZ600,Op,50.000844,28.997289,228,,,
